SiteName,EXP_CLASS
100 Foot Rock,SP
Admiralty Beach,SP
"Agate Beach, Lopez Is",SP
Alki - Cove 1,SP
Alki - Cove 2,SP
Alki - Cove 3,SP
Alki - Pipeline,SP
Alki Beach,SP
Andy's Marine Park,P
Bachelor Rock,SE
Bayrich Bay,P
Bell Island East,SP
Bell Island West,SP
Beverly Beach,P
Blake Island South,P
Blakely Harbor Reef,SP
"Blakely Harbor, North",SP
Broken Point Cove Shaw,P
Broken Point East,P
Broken Point West,P
Burrows Lighthouse,SE
Camano Head,P
Camano Island State Park,P
Camp Casey,SE
Canoe Pass,P
Dalco Shallows,SP
Dash Point State Park,SP
Day Island Kelp,SP
Day Island Wall,SP
Day Island Wall - North,SP
Day Island Wall - South,SP
Deadmans Bay,SE
Deception Pass,P
Derelict Conveyor,SP
Devils Head,P
Dickman Mill,SP
Driftwood Park,SP
Dune Peninsula Breakwater,SP
Eagle Point,SE
Ebeys Landing,SE
Edgewater Beach Park,P
Ediz Hook Log Pile,P
Ediz Hook Rock Pile,P
Ediz Hook RockPile,P
Edmonds Pipeline,SP
Edmonds Underwater Park,SP
Edmonds Underwater Park Kelp,SP
Edmonds Underwater Park Pipeline,SP
Edmonds Underwater Park Shell Creek,SP
Elephant Wall,P
Everett Pipeline,P
Flagpole Point,P
Flat Top Island,SP
Fort Worden,SP
Foulweather Bluff,SP
Fox Island East Wall,P
Fox Island West Wall,P
Freshwater Bay,SE
Friday Harbor Reef,P
Fulton Creek,SP
Goby Garden,P
"Green Point, Spieden Island",SP
Hat Island,P
Hat Island Ledge,P
Hat Island Marina,P
Holmes Harbor,P
Intake Tower/Between Owens and Boathouse,SP
"Jack Block, Seattle, Washington",SP
Jack Hyde Park,SP
Jefferson Head,SP
Jones Island,P
Jorsted Creek,P
Kat's Corner,P
Ketron Island,SP
Kellet's Bluff,SP
Keystone Jetty,SP
Keystone Jetty - Pilings,SP
Keystone Jetty Preserve,SP
Keystone Preserve,SP
Kopachuck State Park,SP
KVI Tower,P
Langley Marina,P
Langley Tire Reef,P
Larry's Lair,P
Les Davis Marine Park,SP
Les Davis Marine Park Pier,SP
Les Davis Marine Park Pipeline,SP
Lime Kiln,SP
Lincoln Park,SP
Lobster Shop Wall,SP
Lowell Point,P
Magnolia,SP
Marina Beach,SP
Maury Island Barges,SP
McCracken Point,SP
McCurdy Point,SE
Metridium Wall,P
Misery Point,SP
Mukilteo Edgewater Park,P
Mukilteo Fuel Pier,P
Mukilteo Lighthouse,SP
Mukilteo T-Dock,P
Narrows Bridge (Tacoma Side),P
Narrows Bridge (Tacoma side),P
Norrander's,P
North Beach,SE
North Wall Deception Pass,P
Northwest Island,SE
Octopus Hole,P
Olalla Boat Launch,SP
Old Tacoma Outboard Association,P
Old Town Dock,SP
O'Neal Island,SP
Orcas Island Eelgrass,P
Owen Beach,SP
Partridge Point,SE
Picnic Cove,P
Pile Point,SE
Pirate Cove,P
Point Caution,SP
Point Dalco,SP
Point Defiance Boathouse,SP
Point Defiance North Wall,SP
Point Defiance Wall,SP
Point Defiance West Kelp Beds,SP
Point Defiance West Wall,SP
Point George,P
Point Hudson,VP
Point Ruston,SP
Point Ruston Ferry,SP
Point Vashon,SP
Point Whitehorn,SP
Point Whitney Shellfish Lab,P
Possession Point Ferry,SP
Possession Point Fingers,P
Pulali Point,P
Redondo Beach,SP
Reuben Tarte,SP
Rosario Beach Urchin Rocks,SP
Rosario Beach Urchin Rocks North,SE
Rosario Head,SE
Rosario Wall,P
Rosie's Ravine,P
Ruston - Katie Downs,SP
Salt Creek,SE
Saltar's Point,SP
Saltwater State Park,SP
Sares Head,SE
Scenic Beach State Park,SP
Seabeck Bay,P
Seattle Waterfront,SP
Sekiu,SP
Shirttail Reef,P
Skyline,SE
Smallpox Bay,SE
South Hat Island,P
Speiden Southwest,SP
Squaxin Island,SP
Steilacoom Marina,SP
Strawberry Falls,SE
Sucia Island - Lawson's Bluff,SP
Sucia Island - Shallow Bay,P
Sund Rock,P
Sund Rock North,P
Sund Rock South,SP
Sunnyside Beach Park,SP
Sunrise Beach State Park,SP
Tacoma Narrows,P
Tacoma Narrows - Point Evans,P
The Pinnacle,P
Three Tree Point,SP
Three Tree Point North,SP
Tire Reef N Saltwater State Park,SP
Titlow Beach Park,P
Triton Cove,SP
Urchin Rocks South,SE
Whale Rocks,SE
Widmer Reef,SP
Wing Point,SP
Wreck of the Ranger,P
Yellow House,P
Young Island West,SP
Z's Reef,P
Cattle Point,SE
Dallas Banks,SE
Eagle Cove,SE
Glen Acres,SP
Green Point,SE
Lawrence Point,SP
Pulali Point West Wall,P
Reef Point,SP
Salmon Beach,SP
Watmaugh Bay,SP
Arsenic Wall,SP
Glen Ayr Ravine,P
Lowman Beach Park,SP
Cliff Island,P
Maritime Pier,P
Deadman Island,SP
7 Seas Dock,P
Boeing Creek Reef,SP
Cherry Point,SP
Clallam Bay West,SE
Dalco Wall,SP
Edmonds Underwater Park Fishing Pier,SP
Elliot Bay Marina,SP
Fox Island Bridge,P
Freeland Park,P
Grain Terminal,SP
Hat Island Sponge Garden,P
Long Island Wall,SE
Lower Elwha,SE
North Wall Point Defiance,SP
Richmond Beach,SP
Rock 305,E
Sirens of Spring,SP
Tacoma Old Town Pier,SP
Teahwhit Head,E
Thea's Park - Foss Waterway,VP
Tongue Point,SE
Triton Head,SP
Mike's Beach Resort,P
