SiteName,MUS_UNIT
100 Foot Rock, 
Admiralty Beach, 
"Agate Beach, Lopez Is", 
Alki - Cove 1, 
Alki - Cove 2, 
Alki - Cove 3, 
Alki - Pipeline, 
Alki Beach, 
Andy's Marine Park, 
Bachelor Rock,P
Bayrich Bay, 
Bell Island East, 
Bell Island West, 
Beverly Beach, 
Blake Island South, 
Blakely Harbor Reef, 
"Blakely Harbor, North", 
Broken Point Cove Shaw, 
Broken Point East, 
Broken Point West, 
Burrows Lighthouse, 
Camano Head, 
Camano Island State Park, 
Camp Casey, 
Canoe Pass, 
Dalco Shallows, 
Dash Point State Park, 
Day Island Kelp, 
Day Island Wall, 
Day Island Wall - North, 
Day Island Wall - South, 
Deadmans Bay, 
Deception Pass, 
Derelict Conveyor, 
Devils Head, 
Dickman Mill, 
Driftwood Park, 
Dune Peninsula Breakwater,P
Eagle Point,P
Ebeys Landing, 
Edgewater Beach Park, 
Ediz Hook Log Pile, 
Ediz Hook Rock Pile, 
Ediz Hook RockPile, 
Edmonds Pipeline, 
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp, 
Edmonds Underwater Park Pipeline, 
Edmonds Underwater Park Shell Creek, 
Elephant Wall, 
Everett Pipeline, 
Flagpole Point, 
Flat Top Island, 
Fort Worden, 
Foulweather Bluff, 
Fox Island East Wall, 
Fox Island West Wall, 
Freshwater Bay,P
Friday Harbor Reef, 
Fulton Creek, 
Goby Garden, 
"Green Point, Spieden Island", 
Hat Island, 
Hat Island Ledge, 
Hat Island Marina, 
Holmes Harbor, 
Intake Tower/Between Owens and Boathouse, 
"Jack Block, Seattle, Washington", 
Jack Hyde Park, 
Jefferson Head, 
Jones Island, 
Jorsted Creek, 
Kat's Corner, 
Ketron Island, 
Kellet's Bluff, 
Keystone Jetty, 
Keystone Jetty - Pilings, 
Keystone Jetty Preserve, 
Keystone Preserve, 
Kopachuck State Park, 
KVI Tower, 
Langley Marina, 
Langley Tire Reef, 
Larry's Lair, 
Les Davis Marine Park, 
Les Davis Marine Park Pier, 
Les Davis Marine Park Pipeline, 
Lime Kiln,P
Lincoln Park, 
Lobster Shop Wall, 
Lowell Point, 
Magnolia, 
Marina Beach, 
Maury Island Barges, 
McCracken Point, 
McCurdy Point, 
Metridium Wall, 
Misery Point, 
Mukilteo Edgewater Park, 
Mukilteo Fuel Pier, 
Mukilteo Lighthouse, 
Mukilteo T-Dock, 
Narrows Bridge (Tacoma Side), 
Narrows Bridge (Tacoma side), 
Norrander's, 
North Beach, 
North Wall Deception Pass, 
Northwest Island, 
Octopus Hole, 
Olalla Boat Launch, 
Old Tacoma Outboard Association, 
Old Town Dock,P
O'Neal Island, 
Orcas Island Eelgrass, 
Owen Beach, 
Partridge Point, 
Picnic Cove, 
Pile Point,P
Pirate Cove, 
Point Caution, 
Point Dalco, 
Point Defiance Boathouse, 
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds, 
Point Defiance West Wall, 
Point George, 
Point Hudson, 
Point Ruston,P
Point Ruston Ferry,P
Point Vashon, 
Point Whitehorn, 
Point Whitney Shellfish Lab, 
Possession Point Ferry, 
Possession Point Fingers, 
Pulali Point, 
Redondo Beach, 
Reuben Tarte, 
Rosario Beach Urchin Rocks, 
Rosario Beach Urchin Rocks North, 
Rosario Head, 
Rosario Wall, 
Rosie's Ravine, 
Ruston - Katie Downs, 
Salt Creek,P
Saltar's Point, 
Saltwater State Park, 
Sares Head,P
Scenic Beach State Park, 
Seabeck Bay, 
Seattle Waterfront, 
Sekiu, 
Shirttail Reef, 
Skyline, 
Smallpox Bay, 
South Hat Island, 
Speiden Southwest, 
Squaxin Island, 
Steilacoom Marina, 
Strawberry Falls, 
Sucia Island - Lawson's Bluff, 
Sucia Island - Shallow Bay, 
Sund Rock, 
Sund Rock North, 
Sund Rock South, 
Sunnyside Beach Park, 
Sunrise Beach State Park, 
Tacoma Narrows, 
Tacoma Narrows - Point Evans, 
The Pinnacle, 
Three Tree Point, 
Three Tree Point North, 
Tire Reef N Saltwater State Park, 
Titlow Beach Park, 
Triton Cove, 
Urchin Rocks South, 
Whale Rocks, 
Widmer Reef,P
Wing Point, 
Wreck of the Ranger, 
Yellow House, 
Young Island West, 
Z's Reef, 
Cattle Point,C
Dallas Banks, 
Eagle Cove,P
Glen Acres, 
Green Point, 
Lawrence Point, 
Pulali Point West Wall, 
Reef Point, 
Salmon Beach, 
Watmaugh Bay, 
Arsenic Wall,P
Glen Ayr Ravine, 
Lowman Beach Park, 
Cliff Island, 
Maritime Pier, 
Deadman Island, 
7 Seas Dock, 
Boeing Creek Reef, 
Cherry Point, 
Clallam Bay West, 
Dalco Wall, 
Edmonds Underwater Park Fishing Pier, 
Elliot Bay Marina, 
Fox Island Bridge, 
Freeland Park, 
Grain Terminal, 
Hat Island Sponge Garden, 
Long Island Wall, 
Lower Elwha, 
North Wall Point Defiance, 
Richmond Beach, 
Rock 305,C
Sirens of Spring, 
Tacoma Old Town Pier,P
Teahwhit Head,C
Thea's Park - Foss Waterway, 
Tongue Point,P
Triton Head, 
Mike's Beach Resort, 
