SiteName,NER_UNIT
100 Foot Rock, 
Admiralty Beach, 
"Agate Beach, Lopez Is", 
Alki - Cove 1, 
Alki - Cove 2, 
Alki - Cove 3, 
Alki - Pipeline, 
Alki Beach, 
Andy's Marine Park, 
Bachelor Rock,P
Bayrich Bay, 
Bell Island East,C
Bell Island West,C
Beverly Beach, 
Blake Island South, 
Blakely Harbor Reef, 
"Blakely Harbor, North", 
Broken Point Cove Shaw, 
Broken Point East, 
Broken Point West, 
Burrows Lighthouse,C
Camano Head, 
Camano Island State Park, 
Camp Casey,P
Canoe Pass, 
Dalco Shallows,C
Dash Point State Park, 
Day Island Kelp,C
Day Island Wall,C
Day Island Wall - North,C
Day Island Wall - South,C
Deadmans Bay,C
Deception Pass, 
Derelict Conveyor, 
Devils Head, 
Dickman Mill, 
Driftwood Park, 
Dune Peninsula Breakwater, 
Eagle Point,P
Ebeys Landing,C
Edgewater Beach Park, 
Ediz Hook Log Pile, 
Ediz Hook Rock Pile,P
Ediz Hook RockPile, 
Edmonds Pipeline,P
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp,P
Edmonds Underwater Park Pipeline,P
Edmonds Underwater Park Shell Creek,P
Elephant Wall, 
Everett Pipeline, 
Flagpole Point, 
Flat Top Island, 
Fort Worden, 
Foulweather Bluff, 
Fox Island East Wall,P
Fox Island West Wall, 
Freshwater Bay,P
Friday Harbor Reef,P
Fulton Creek, 
Goby Garden, 
"Green Point, Spieden Island",P
Hat Island, 
Hat Island Ledge, 
Hat Island Marina, 
Holmes Harbor, 
Intake Tower/Between Owens and Boathouse,P
"Jack Block, Seattle, Washington",P
Jack Hyde Park, 
Jefferson Head, 
Jones Island, 
Jorsted Creek, 
Kat's Corner, 
Ketron Island, 
Kellet's Bluff,C
Keystone Jetty, 
Keystone Jetty - Pilings, 
Keystone Jetty Preserve, 
Keystone Preserve, 
Kopachuck State Park, 
KVI Tower, 
Langley Marina, 
Langley Tire Reef, 
Larry's Lair, 
Les Davis Marine Park, 
Les Davis Marine Park Pier, 
Les Davis Marine Park Pipeline, 
Lime Kiln,C
Lincoln Park, 
Lobster Shop Wall, 
Lowell Point, 
Magnolia,C
Marina Beach, 
Maury Island Barges, 
McCracken Point,P
McCurdy Point,P
Metridium Wall, 
Misery Point, 
Mukilteo Edgewater Park, 
Mukilteo Fuel Pier, 
Mukilteo Lighthouse, 
Mukilteo T-Dock, 
Narrows Bridge (Tacoma Side),P
Narrows Bridge (Tacoma side),P
Norrander's, 
North Beach,P
North Wall Deception Pass, 
Northwest Island,P
Octopus Hole, 
Olalla Boat Launch, 
Old Tacoma Outboard Association,P
Old Town Dock, 
O'Neal Island, 
Orcas Island Eelgrass, 
Owen Beach,P
Partridge Point,P
Picnic Cove, 
Pile Point,C
Pirate Cove,P
Point Caution,P
Point Dalco,C
Point Defiance Boathouse,P
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds,C
Point Defiance West Wall, 
Point George,P
Point Hudson, 
Point Ruston, 
Point Ruston Ferry, 
Point Vashon,P
Point Whitehorn, 
Point Whitney Shellfish Lab, 
Possession Point Ferry, 
Possession Point Fingers, 
Pulali Point, 
Redondo Beach, 
Reuben Tarte, 
Rosario Beach Urchin Rocks, 
Rosario Beach Urchin Rocks North,P
Rosario Head,C
Rosario Wall, 
Rosie's Ravine, 
Ruston - Katie Downs, 
Salt Creek,C
Saltar's Point, 
Saltwater State Park, 
Sares Head,C
Scenic Beach State Park, 
Seabeck Bay, 
Seattle Waterfront,P
Sekiu,P
Shirttail Reef, 
Skyline,C
Smallpox Bay,P
South Hat Island, 
Speiden Southwest,C
Squaxin Island,P
Steilacoom Marina, 
Strawberry Falls,C
Sucia Island - Lawson's Bluff,P
Sucia Island - Shallow Bay, 
Sund Rock, 
Sund Rock North, 
Sund Rock South, 
Sunnyside Beach Park, 
Sunrise Beach State Park, 
Tacoma Narrows,P
Tacoma Narrows - Point Evans, 
The Pinnacle, 
Three Tree Point, 
Three Tree Point North, 
Tire Reef N Saltwater State Park, 
Titlow Beach Park,P
Triton Cove, 
Urchin Rocks South,C
Whale Rocks,P
Widmer Reef, 
Wing Point,C
Wreck of the Ranger, 
Yellow House, 
Young Island West,C
Z's Reef, 
Cattle Point,C
Dallas Banks, 
Eagle Cove,P
Glen Acres, 
Green Point,P
Lawrence Point, 
Lawrence Point,C
Pulali Point West Wall, 
Reef Point, 
Salmon Beach,P
Watmaugh Bay, 
Arsenic Wall, 
Glen Ayr Ravine, 
Lowman Beach Park, 
Cliff Island, 
Maritime Pier, 
Deadman Island,C
7 Seas Dock, 
Boeing Creek Reef, 
Cherry Point, 
Clallam Bay West, 
Dalco Wall, 
Edmonds Underwater Park Fishing Pier,P
Elliot Bay Marina,C
Fox Island Bridge, 
Freeland Park, 
Grain Terminal, 
Hat Island Sponge Garden, 
Long Island Wall,C
Lower Elwha,P
North Wall Point Defiance,P
Richmond Beach,P
Rock 305, 
Sirens of Spring,P
Tacoma Old Town Pier, 
Teahwhit Head, 
Thea's Park - Foss Waterway, 
Tongue Point,C
Triton Head, 
Mike's Beach Resort, 
