SiteName,VER_UNIT
100 Foot Rock,N
Admiralty Beach, 
"Agate Beach, Lopez Is", 
Alki - Cove 1,N
Alki - Cove 2,N
Alki - Cove 3,N
Alki - Pipeline, 
Alki Beach, 
Andy's Marine Park, 
Bachelor Rock,M
Bayrich Bay,N
Bell Island East,N
Bell Island West,N
Beverly Beach, 
Blake Island South, 
Blakely Harbor Reef,N
"Blakely Harbor, North", 
Broken Point Cove Shaw, 
Broken Point East,N
Broken Point West,N
Burrows Lighthouse, 
Camano Head, 
Camano Island State Park, 
Camp Casey, 
Canoe Pass,N
Dalco Shallows, 
Dash Point State Park, 
Day Island Kelp, 
Day Island Wall, 
Day Island Wall - North, 
Day Island Wall - South, 
Deadmans Bay,M
Deception Pass,N
Derelict Conveyor, 
Devils Head, 
Dickman Mill, 
Driftwood Park, 
Dune Peninsula Breakwater, 
Eagle Point,M
Ebeys Landing, 
Edgewater Beach Park,N
Ediz Hook Log Pile, 
Ediz Hook Rock Pile, 
Ediz Hook RockPile, 
Edmonds Pipeline,N
Edmonds Underwater Park, 
Edmonds Underwater Park Kelp, 
Edmonds Underwater Park Pipeline,N
Edmonds Underwater Park Shell Creek, 
Elephant Wall,N
Everett Pipeline, 
Flagpole Point,N
Flat Top Island,N
Fort Worden, 
Foulweather Bluff, 
Fox Island East Wall, 
Fox Island West Wall, 
Freshwater Bay,M
Friday Harbor Reef,N
Fulton Creek, 
Goby Garden,N
"Green Point, Spieden Island",N
Hat Island, 
Hat Island Ledge, 
Hat Island Marina, 
Holmes Harbor, 
Intake Tower/Between Owens and Boathouse, 
"Jack Block, Seattle, Washington", 
Jack Hyde Park, 
Jefferson Head, 
Jones Island,N
Jorsted Creek, 
Kat's Corner, 
Ketron Island, 
Kellet's Bluff,N
Keystone Jetty, 
Keystone Jetty - Pilings, 
Keystone Jetty Preserve, 
Keystone Preserve, 
Kopachuck State Park, 
KVI Tower, 
Langley Marina, 
Langley Tire Reef, 
Larry's Lair,N
Les Davis Marine Park, 
Les Davis Marine Park Pier, 
Les Davis Marine Park Pipeline, 
Lime Kiln,M
Lincoln Park, 
Lobster Shop Wall, 
Lowell Point, 
Magnolia, 
Marina Beach, 
Maury Island Barges, 
McCracken Point, 
McCurdy Point, 
Metridium Wall, 
Misery Point, 
Mukilteo Edgewater Park, 
Mukilteo Fuel Pier,N
Mukilteo Lighthouse, 
Mukilteo T-Dock,N
Narrows Bridge (Tacoma Side), 
Narrows Bridge (Tacoma side), 
Norrander's, 
North Beach, 
North Wall Deception Pass, 
Northwest Island, 
Octopus Hole, 
Olalla Boat Launch, 
Old Tacoma Outboard Association, 
Old Town Dock, 
O'Neal Island,N
Orcas Island Eelgrass, 
Owen Beach, 
Partridge Point, 
Picnic Cove,N
Pile Point,M
Pirate Cove,N
Point Caution,N
Point Dalco, 
Point Defiance Boathouse, 
Point Defiance North Wall, 
Point Defiance Wall, 
Point Defiance West Kelp Beds, 
Point Defiance West Wall, 
Point George,N
Point Hudson, 
Point Ruston, 
Point Ruston Ferry, 
Point Vashon,W
Point Whitehorn, 
Point Whitney Shellfish Lab, 
Possession Point Ferry, 
Possession Point Fingers, 
Pulali Point, 
Redondo Beach, 
Reuben Tarte,N
Rosario Beach Urchin Rocks, 
Rosario Beach Urchin Rocks North, 
Rosario Head,N
Rosario Wall,N
Rosie's Ravine,N
Ruston - Katie Downs, 
Salt Creek,M
Saltar's Point, 
Saltwater State Park, 
Sares Head,N
Scenic Beach State Park, 
Seabeck Bay, 
Seattle Waterfront, 
Sekiu, 
Shirttail Reef,N
Skyline, 
Smallpox Bay,M
South Hat Island, 
Speiden Southwest,N
Squaxin Island, 
Steilacoom Marina, 
Strawberry Falls,M
Sucia Island - Lawson's Bluff,N
Sucia Island - Shallow Bay,N
Sund Rock,N
Sund Rock North,N
Sund Rock South,N
Sunnyside Beach Park, 
Sunrise Beach State Park, 
Tacoma Narrows, 
Tacoma Narrows - Point Evans, 
The Pinnacle, 
Three Tree Point, 
Three Tree Point North, 
Tire Reef N Saltwater State Park, 
Titlow Beach Park, 
Triton Cove, 
Urchin Rocks South,N
Whale Rocks,M
Widmer Reef, 
Wing Point, 
Wreck of the Ranger, 
Yellow House, 
Young Island West,N
Z's Reef, 
Cattle Point,M
Dallas Banks, 
Eagle Cove,M
Glen Acres, 
Green Point, 
Lawrence Point,N
Pulali Point West Wall,N
Reef Point, 
Salmon Beach, 
Watmaugh Bay,N
Arsenic Wall, 
Glen Ayr Ravine, 
Lowman Beach Park, 
Cliff Island,N
Maritime Pier, 
Deadman Island,M
7 Seas Dock, 
Boeing Creek Reef,N
Cherry Point, 
Clallam Bay West, 
Dalco Wall, 
Edmonds Underwater Park Fishing Pier,N
Elliot Bay Marina,N
Fox Island Bridge, 
Freeland Park, 
Grain Terminal, 
Hat Island Sponge Garden, 
Long Island Wall,M
Lower Elwha, 
North Wall Point Defiance, 
Richmond Beach, 
Rock 305, 
Sirens of Spring, 
Tacoma Old Town Pier, 
Teahwhit Head,W
Thea's Park - Foss Waterway, 
Tongue Point,M
Triton Head, 
Mike's Beach Resort, 
